officer_id,name_clean,n
0162,"WINNS, JEFFREY",3
0162,"HARDING, DONALD",2
0163,"CARRINGTON, MARTIN",20
0163,"OWENS, CHARLES",1
0163,"WASER, BRYAN",1
0164,"HARRIS, MELVIN",86
0164,"HOCKADAY, J",4
0164,"SANTERRE, MAJOR",3
0165,"HICKS, NEILE",14
0165,"ALENCAR, JOAO",3
0165,"MONTGOMERY, A",1
0166,"HOWARD, JEROME",223
0166,"HUNT, M",2
0167,"JACKSON, LARRY",300
0167,"PANIK, MARK",4
0168,"JONES, ANJANETTE",266
0168,"GORRELL, OFFC",1
0169,"MALINA, J",4
0169,"CANOLES, W",3
0170,"MANCE, JONATHAN",153
0170,"RIAZZI, MICHAEL",2
0171,"MOLHLER, H",5
0172,"MCLAUGHLIN, THEODORE",140
0172,"DORRITY, C",4
0172,"YEALDHALL, ERIC",2
0173,"SHAUMAN, WILLIAM",177
0173,"COACH, J",3
0174,"SMITH, ERIC",490
0174,"PEREZ, SANDERS",17
0174,"COLLINS, D",6
0175,"STANLEY, ROBERT",66
0175,"WASHINGTON, KENYATTA",28
0176,"VAILATI, CHRISTOPHER",125
0176,"BROWN, ROBERT",10
0177,"WHITE, BRYAN",200
0177,"MELHEM, TODD",1
0178,"THOMAS, REGINALD",53
0178,"WAREHIME, M",3
0179,"RICHARDSON, E",1
0180,"PHILLIPS, PAMELA",4
0180,AUTRY,1
0181,"JOHNSON, R",49
0182,"MILLER, DENNIS",109
0182,"BURGESS, RESIGNED",1
0183,"MYERS, AARON",299
0184,"RAWLINGS, ANGELA",8
0184,"LEWIS, L",1
0184,"NEAL, T",1
0185,"SMITH, STANLEY",47
0185,"PIERSON, LAKEISHA",7
0186,"WHITE, SHANTEL",20
0186,"CARROLL, SHAUNA",9
0186,WATLINGTON,3
0187,"WINGATE, SEAN",41
0187,"SPARKS, RESIGNED",2
0187,"CONELY, P",1
0188,"WILLIAMS, THOMAS",31
0188,"CICHOWICZ, M",6
0188,"GRIMM, TERRY",1
0189,"HOLMES, EDMOND",5
0189,"BAILEY, DWAYNE",1
0190,"TORRENCE, TIMOTHY",38
0191,"STEVENSON, CHRISTOPHER",166
0192,"HOWELL, C",29
0192,"EWING, STEPHEN",1
0193,"BROWN, CHARLES",134
0193,"WOODALL, NIKKI",4
0194,"JORDON, KENDRICK",33
0194,"THOMPSON, M",6
0194,"HARRIS, J",4
0195,"SMITH, JAMES",62
0195,"TILLMAN, APRIL",1
0196,"OATES, MARVIN III",19
0197,"MCGEE, VONDETTA",27
0198,"ORTIZ, RAYMOND",12
0198,"WILKES, DWAYNE",1
0199,"WALLACE, D",11
0199,OLSCHEWSKE,1
0200,"GRANT, A",158
0201,"JACKSON, RODERICK",29
0201,"HUNTER, M",1
0202,"JACKSON, ANDRE",207
0202,"BUCKNER, LASHON",39
0203,"WALLACE, SANDRA",13
0203,"FENNER, ERNEST",4
0204,"GOODS, JOHN",12
0205,"ANDREWS, LESLIE",2
0206,"SHAW, JOE",18
0207,"ARBOGAST, KIMBERLY",10
0207,"ROWE, MARK",7
0207,"BEAN, L",1
0207,"KENNY, NORMAN",1
0208,"SPRIGGS, D",29
0209,"BATEMAN, MYRON",2
0210,"SLAUGHTER, E",2
0211,"WALLACE, SHAWN",60
0211,"BERNHARDT, DANIEL",1
0212,"BROWN, KEITH",26
0213,"STEWART, A",27
0213,"FENWICK, THOMAS",14
0213,"PULLEY, CLARENCE",3
0214,"HARPER, MICHAEL",4
0214,"HARGROVE, A",1
0215,"TAYLOR, OLIVER",49
0216,"DUVALL, MARK",260
0217,"CAMPBELL, ASTERIA",23
0217,"GRAY, M",1
0218,"JENKINS, TONYA",51
0218,"BLACK, MARC",3
0219,"JOHNSON, RONALD",450
0219,"AMES, MARY",1
0221,"FRANKLIN, STANFORD",2
0222,"GREEN, HAROLD",63
0223,"PATTERSON, JAMES",99
0223,"WILSON, K",4
0224,"ANDERSON, DONELIE",49
0224,"JAMISON, FUQUAN",3
0225,"JONES, DOMINIC",121
0226,"CLARKE, BRODERICK",203
0226,"CHADWICK, RON",16
0226,"MWAMBA, MUHAMMAD",1
0227,"LUY, SOPHO",34
0228,"SPENCE, WILLIAM",30
0229,"SOUTHERS, KENYAN",14
0230,"BLOUNT, RONALD",5
0230,"CHAPMAN, ERIK",3
0231,"MILLER, A",2
0232,"HIGGS, M",21
0232,"BYRNE, SP",5
0233,"KELLY, DONNA",4
0234,"GRAY, BROUYN",8
0234,"WALLACE, EUGENIA",1
0238,"SPRAGGINS, TRACY",79
0239,"JOHNSON, D",1540
0239,"STOKES, L",3
0240,"SWANN, N",47
0241,"SCANLAND, S",1
0242,"CULLINS, KEVIN",34
0243,"BROWN, DONALD",25
0243,"KNOP, G",1
0244,"REDDING, ALICIA",666
0245,"HATCHER, GREGORY",61
0246,"WASHINGTON, C",28
0246,"MCARTY, JOHN",1
0247,"HAMILTON, KIESHA",33
0248,"WILLIAMS, ROBERT SR",27
0248,"BOKEL, WILLIAM",4
0249,NAGLIERI,79
0252,HARDY,50
0252,"CLARK, LAWRENCE",7
0253,"OPHER, EDWARD JR",1
0254,"VANCE, C",106
0254,"NOEL, R",5
0255,"DUNN, W",16
0256,"SIMPKINS, KEITH",3
0257,"JOHNSON, S",11
0258,"RUSSELL, L",43
0259,"RICHARDSON, TAVON",113
0259,REICHART,1
0259,"REINCHART, LOUIS",1
0260,"GRANT, A",1
0261,"JOHNSON, DESIREE",27
0261,"BROWN, C",3
0262,"CROSLEY, ANTONIO",7
0262,"DIGERSTBRICH, J",2
0263,"MEDLIN, D",44
0263,"MYERS, MARTHA",1
0264,RESIGNED,64
0265,CHENG,17
0266,RAFIQ,51
0266,"BAUGHER, JAMES",5
0267,"STEWART, BRIAN",9
0267,"WRAY, MICHAEL",1
0268,"SMITH, DOUGLAS",12
0268,"STEVENSON, RICHARD",12
0270,"GARNES, P",26
0270,"KEIL, R",7
0271,"VANDYKE, ROBERT",25
0272,"KIRHAGIS, L",3
0272,"MADDEN GUY, T",2
0273,"CREW, C",9
0274,"BROWN, NEISHA",157
0275,KOONTZ,38
0275,"ORBIN, D",5
0276,"CARTER, J",69
0276,"DAPP, ROBERT",6
0277,"COLLETON, A JR",18
0277,"LEWIS, N",6
0278,"MULLIGAN, JOHN",5
0279,"WATTERS, D",193
0279,"OTREMBA, V",3
0280,"RICHARDSON, T",111
0280,"BROOKHART, MARILYN",9
0280,"GALBRAITH, DANIEL",2
0281,"RANDAL, B",94
0283,"MACHIN, T",6
0284,"TARRANT, A",69
0284,"BRILEY, D",6
0284,"MCELWEE, M",6
0285,"SCHAFFER, L",1
0285,"WRIGHT, RAYMOND",1
0286,"MCBRIDE, FRANCESO",3
0287,"JACKSON, STEVEN",168
0287,"ANTHONY, JOHN",3
0288,"MCMORRIS, J",53
0288,"BOYD, MICHAEL",5
0289,"DELOATCH, D",6
0290,"FLANIGN, T",6
0291,"CROCKETT, D",79
0292,"RICHARDSON, A",22
0292,"BROWN, K",1
0293,"HARVEY, D",6
0294,"GREEN, COURTNEY",146
0295,"PITTS, G",3
0296,"BEST, D",19
0297,"VIRGIL, K",6
0298,"LAWSON, G",85
0299,"SOWADA, JOSEPH",106
0302,"PETRELLI, DAVID",1
0303,"TURPIN, T",27
0304,"DIXON, GINA",73
0304,"FREDERICK, S",36
0305,"RICKS, RODNEY",1
0306,"TUCKER, DEREK",17
0306,"JANITZKY, HERMAN",2
0307,"PIASKOWSKI, C",51
0308,"MADDEN, DAVID",48
0309,"JACKSON, A",70
0310,"CUNNINGHAM, STEPHEN",9
0312,"STEPHENS, ANTWAN",124
0313,"CRAFT, BENJAMIN",74
0313,"TIMMS, FRED",13
0314,"ROBINSON, ERIC",47
0315,"KOPP, MATTHEW",15
0316,"CAMPHUR, W",72
0316,SOMMERS,1
0317,"PORTER, D",13
0318,JOHNSON,17
0319,"HERNDON, S",110
0321,HUNTER,5
0321,"BOYD, JOHN",1
0322,"BOSLEY, REBECCA",1
0323,"BROWN, B",9
0324,PATTERSON,30
0324,"YEALDHALL, E",2
0327,"BOSSALINA, ANTHONY",77
0328,"GARCIA, RAFAEL",87
0330,"RODRIQUEZ, TYLER OFFC",22
0331,"SPARKS, KYLE",4
0332,"MIDDLETON, JACOB",26
0332,"LEATHERWOOD, DONALD",8
0333,"NUNES, GERMAINE",8
0334,"DALES, KENNETH",77
0335,"BUELTO, G",56
0336,"BROWN, SADEN",26
0337,"MCCLINTON, SHANIKA",85
0337,"BUCZYNSKI, D",5
0338,"WATSON, ANDREW",70
0339,ZELEFSKY,21
0339,"DARNELL, T",4
0340,"BELL, JUSTIN",9
0341,"BOYD, TANIKA",67
0341,"BOSLEY, S",9
0342,"BISHOP, NANCY",1
0342,"BROWN, D",1
0343,HARDY,22
0344,"LEE, KEVIN",67
0344,"BRAUNING, DAVID",1
0345,BIDDLE,33
0345,"CHISHOLM, W",3
0347,BENNETT,9
0348,"ELMORE, MARK",49
0349,"DESHIELDS, L",8
0350,KELLAGHER,14
0351,"ROGERS, T",6
0352,"FARACE, T",26
0352,"HILTON, C",1
0353,"MOODY, KEVIN",25
0353,"HITE, J",5
0353,"GUERRA, ROBERT",4
0354,"JENKINS, K",9
0354,"HOWELL, A",7
0355,"TOBIN, Z",3
0355,"HUTCHINS, E",1
0356,"JENKINS, K",2
0357,"SAUNDERS, C",42
0358,"LEWIS, MICHELLE",8
0359,"DANCE, K",24
0360,BAKER,1
0361,HYNSON,8
0362,YANCEY,3
0363,DYER,4
0363,"NEVTZEL, JANE",2
0364,"JAMES, WENDELL",62
0364,"PARSON, E",9
0364,"READY, R",1
0365,"MENEIVE, BRIAN",5
0366,"DAVIS, C",13
0366,"POINDEXTER, B",12
0367,"TRUSTY, D",3
0367,"SALISBURY, I",1
0368,"JOHNSON, D",18
0369,"CHRISTIAN, ANTON",9
0370,"BROWN, SHA",7
0370,"LAWSON, R",7
0371,"DUNN, TYRELLE",5
0372,"PANOWITZ, A",13
0373,SEWELL,3
0374,"CONGRESS, A",4
0375,CASTRO,48
0376,"THIGPEN, D",10
0377,MECKLEY,13
0377,"STANCILL, S",1
0378,"COLLINS, RICHARD",20
0378,GARNETT,12
0379,"BREWER, T",2
0381,"WATSON, T",3
0382,"WEIFORD, JAMES",1
0383,"FERRIGNO, K",3
0383,"BURNS, C",2
0384,PATTERSON,11
0384,"BUDNICK, K",8
0385,HALKIA,5
0386,BUTLER,6
0386,"BONHUFF, S",4
0387,"ROBINSON, G",4
0387,"MILLER, T",3
0388,"HENRY, M",51
0388,"JOHNSON, Y",2
0389,"TURRENTINE, D",8
0390,"IBRAHIM, AKEEM",7
0391,"KANE, J",4
0391,MORAN,3
0392,"CARTER, JAMAL",1
0393,IVORY,6
0393,"SCHLOTTERBECK, J",1
0394,MORRIS,9
0395,MCGURT,5
0396,FILLER,7
0397,"WILLIAMS, N",4
0397,SHATLOCK,1
0398,"WATSON, ANDRE",2
0399,"TALBERT, P",5
0400,"ALLEN, R",24
0400,"BARNHILL, L",4
0400,"PACKER, E",3
0400,"BROWN, MORRIS III",2
0401,"BALDERSTON, ROGER",55
0401,"BERNOSKI, R",1
0402,"JUSTICE, W",5
0402,ADEGBAYE,1
0403,"JENKINS, BRUCE",4
0403,JOHNSON,1
0404,"CLARK, M",9
0404,"LIKIN, RODNEY",2
0405,"PHILLIPS, A",3
0406,"BLAKE, K",5
0406,"HILTON, J",1
0407,"NICKEL, CHRISTOPHER",54
0407,"ROYSTER, D",3
0408,"HOLCOMB, J",1
0409,"PETERSON, SCOTT",19
0409,MASSIMES,1
0410,DIASSE,5
0410,"LAW, S",2
0411,"LUGAY, BETTY",11
0411,"WHITE, AKIL",1
0412,"FORREST, MARK",16
0412,"MEYERS, R",2
0412,"OWENS, RONALD",1
0413,"MEEYETT, L",6
0413,"MEYUETT, LORRAINE",3
0414,"HOOPER, L",21
0414,"MULLINS, S",5
0414,"LEE, JAMIL",3
0416,BAILEY,6
0416,GENOVESE,1
0417,"GEORGE, CHARLES",5
0417,"PERRY, R",4
0417,DANIELS,1
0418,"SCHRIEFER, J",6
0419,"SPINKS, CHARLES",6
0420,"SMITH, JASON",1
0421,HEMPFIELD,2
0423,"WHITT, L",4
0423,"BROWN, TAVON",2
0424,"BILBREY, FRANKLIN",3
0425,"WEST, B",2
0429,"CREW, MANUEL",3
0430,"DIPASQUALE, D",2
0430,"POUX, A",1
0432,"CORBIN, ERIC",1
0433,"MEYERS, M",2
0434,"LIN, C",1
0435,"SLAUGHTER, ERICH",1
0438,"WEICHERT, E",3
0443,"BURTON, JOHN",1
0445,"BURNETTE, EDWARD",3
0448,"JIMMERSON, DELFORD",99
0454,"NOEL, MICHAEL",14
0456,"SMITH, TINA",4
0458,"BIRCHFIELD, JEREMY",4
0459,"SHOPE, CAROLYN",4
0461,"SCOTT, JAMES",66
0461,"PENNELL, WILLIAM",2
0462,"ALTON, JOSEPH",18
0463,"KELLAM, LEROY JR",20
0463,"KELLUM, JR",4
0469,"LUCKY, J",10
0471,"MCFEATERS, MARY",4
0472,"TOMCZEWSKI, JESSICA",3
0473,"BLAKE, DAVID",4
0481,"CAMPBELL, MEDFORD",4
0481,"PETERSON, TRINA",1
0491,"FRYE, MAXWELL",3
0496,"CARHART, J",3
0502,"GREGOR, MICHAEL",7
0503,"FAGAN, R",10
0503,"HEINZE, MILLARD",2
0507,"LAYFIELD, JOEL",2
0508,"LYLES, LUCY",2
0511,"MCCUTCHEON, PHILLIP",11
0513,"HARRES, A",2
0516,"SIDLER, CLEMENT IV",4
0517,"STAINES, MICHAEL",20
0517,"STAIMES, M",5
0519,"GEORGE, CHARLES",2
0521,"STRATTON, EDWARD DEAN",1
0522,"CORNWELL, CLARENCE",6
0523,"DEVINCENTZ, RICHARD",15
0526,"DAVIS, VICTORIA",1
0527,"DILLOW, MARTIN",22
0529,"DIGGINS, DANIEL",21
0529,"HEISEY, CHRISTOPHER",6
0530,"HOYER, SHARON",2
0531,"BURNS, CALVIN",11
0532,"RICKO, RICHARD",25
0532,"CASEY, JOHN",3
0534,"MEADOWS, HOWARD",1
0536,"ZAGRAIEK, JOHN JR",8
0537,"DAY, G",55
0538,"DESANTIS, KATHLEE",10
0538,"CATER, BENJAMIN",3
0539,"DOUSHARM, BRET",26
0540,"EDWARDS, VINCENT",18
0540,"GRAY, J",1
